dataset,feature_set,model,target,r2,mae,rmse,nmae,nrmse,r2_rank,nrmse_rank,nmae_rank,target_rank_score,target_model_rank
bwr,full,GradientBoosting,F-delta-H,0.9835159402941026,0.014978080823337028,0.026299197904585122,0.01986482867816582,0.03487957281775215,1.0,1.0,1.0,1.0,1
bwr,full,GradientBoosting,K-eff,0.9968251878690897,0.002659381114170198,0.005146080869043505,0.008590842208845454,0.01662385601835995,1.0,1.0,1.0,1.0,1
bwr,full,GradientBoosting,Max-Fxy,0.9430132247609119,0.006193538169797061,0.011716870336722916,0.01361217180175178,0.025751363377413,1.0,1.0,1.0,1.0,1
bwr,full,GradientBoosting,Max3Pin,0.9551501415129192,0.16711527417870617,0.3474093772028292,0.029772897591075393,0.061893706966475906,1.0,1.0,1.0,1.0,1
bwr,full,GradientBoosting,Max4Pin,0.9530326664233544,0.18050337899288438,0.38262441449855855,0.029421903666321823,0.06236746772592642,1.0,1.0,1.0,1.0,1
chf,full,RandomForest,CHF (kW m-2),0.955647782372684,195.0650039515101,325.0459489754597,0.014956785554633778,0.024923192042366076,1.0,1.0,2.0,1.25,1
fp,full,Ridge,fis_gas_produced,0.9992324324796106,3.362387184682956e-08,4.166920785355526e-08,0.004002841886527328,0.004960619982566102,1.0,1.0,1.0,1.0,1
fp,full,Ridge,max_fuel_centerline_temp,0.996135349570607,1.8170426619339595,2.2055061771988282,0.007918487728353385,0.009611372349600479,1.0,1.0,1.0,1.0,1
fp,full,GradientBoosting,max_fuel_surface_temp,0.9219210518318274,1.6882759078418104,2.2846819189530487,0.03449662330883747,0.046683016189803986,1.0,1.0,1.0,1.0,1
fp,full,Ridge,radial_clad_dia,0.9970072070329449,3.439322845703026e-08,4.230384585915088e-08,0.007019026215720465,0.00863343793043896,1.0,1.0,1.0,1.0,1
heat,full,GradientBoosting,T,0.9974652259661068,5.933927545019719,7.474228342116751,0.008859406531552387,0.011159089303009526,1.0,1.0,1.0,1.0,1
htgr,full,GradientBoosting,fluxQ1,0.9038891755679809,0.0010139657013853852,0.0013025387382707555,0.03973006533844835,0.05103717917346813,1.0,1.0,1.0,1.0,1
