dataset,feature_set,model,n_samples,n_train,n_test,input_dim,output_dim,mean_r2,mean_mae,mean_rmse,mean_nmae,mean_nrmse,std_r2,std_nrmse,r2_rank,nrmse_rank,nmae_rank,rank_score,model_rank
chf,full,Ridge,2500,2000,500,6,1,0.7028940035367293,585.5219235844437,841.28432407274,0.044895422916384146,0.06450623623271194,0.0,0.0,4.0,4.0,4.0,4.0,4
chf,full,KNN,2500,2000,500,6,1,0.9549353443267586,194.0463100300214,327.6461857766802,0.014878676277106463,0.025122567550218782,0.0,0.0,2.0,2.0,1.0,1.75,2
chf,full,RandomForest,2500,2000,500,6,1,0.955647782372684,195.06500395151014,325.04594897545974,0.014956785554633782,0.02492319204236608,0.0,0.0,1.0,1.0,2.0,1.25,1
chf,full,GradientBoosting,2500,2000,500,6,1,0.9460038920940416,223.56873526008502,358.6479198770198,0.017142334925628243,0.02749965354395152,0.0,0.0,3.0,3.0,3.0,3.0,3
chf,selected,Ridge,2500,2000,500,4,1,0.6684158693441263,626.0479188626525,888.7588876400736,0.04800279024771205,0.06814639132046386,0.0,0.0,4.0,4.0,4.0,4.0,4
chf,selected,KNN,2500,2000,500,4,1,0.9412961414243581,242.02879405103985,373.95591938509335,0.018557776624903415,0.028673408247637946,0.0,0.0,1.0,1.0,1.0,1.0,1
chf,selected,RandomForest,2500,2000,500,4,1,0.9351792643018317,251.41888114413118,392.9561281247882,0.019277770043228795,0.030130266432633227,0.0,0.0,2.0,2.0,2.0,2.0,2
chf,selected,GradientBoosting,2500,2000,500,4,1,0.9339562995717035,274.02600344748555,396.6457337238429,0.021011191587068115,0.030413170278060852,0.0,0.0,3.0,3.0,3.0,3.0,3
heat,full,Ridge,1000,800,200,7,1,0.8550768348948419,48.87222643931668,56.515248568948415,0.07296666817096276,0.08437776809800675,0.0,0.0,3.0,3.0,3.0,3.0,3
heat,full,KNN,1000,800,200,7,1,0.8051920895431268,50.17292764547938,65.52394406466985,0.07490862662496299,0.09782783049092324,0.0,0.0,4.0,4.0,4.0,4.0,4
heat,full,RandomForest,1000,800,200,7,1,0.9827011128052668,14.5305299048583,19.525664385172075,0.021694210212266946,0.029151990359585433,0.0,0.0,2.0,2.0,2.0,2.0,2
heat,full,GradientBoosting,1000,800,200,7,1,0.9974652259661068,5.933927545019719,7.474228342116751,0.008859406531552387,0.011159089303009526,0.0,0.0,1.0,1.0,1.0,1.0,1
heat,selected,Ridge,1000,800,200,1,1,0.7629095757415759,58.27356427955552,72.28592516301528,0.0870029490718051,0.1079235283325989,0.0,0.0,4.0,4.0,4.0,4.0,4
heat,selected,KNN,1000,800,200,1,1,0.8907522254348003,39.83895524049846,49.068528734995816,0.05947991403503434,0.07325974924202472,0.0,0.0,2.0,2.0,2.0,2.0,2
heat,selected,RandomForest,1000,800,200,1,1,0.886317071948163,40.83616959171328,50.05464231729716,0.06096876391894054,0.07473202557934289,0.0,0.0,3.0,3.0,3.0,3.0,3
heat,selected,GradientBoosting,1000,800,200,1,1,0.9062522021957966,37.40687179445076,45.45454074818925,0.05584879184762586,0.06786403307724982,0.0,0.0,1.0,1.0,1.0,1.0,1
